"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CYSLTR1",14.0567257534548,-2.12292317970954,0.541364508892278,-3.92143028373506,8.80249172827681e-05,0.0243495133255988
"CD8B",45.7056288980459,1.80072802874703,0.460036349438418,3.91431683810471,9.06605263622646e-05,0.0246535166941724
"CXXC5",491.763869674302,1.93458764258037,0.495644951163491,3.90317229710312,9.49400664587226e-05,0.0253869737710624
"CDYL2",66.5433207996341,1.67296245497183,0.429714562637089,3.89319469348474,9.89326897110768e-05,0.0260209192413855
"TNFSF13B",63.475578928007,-1.79347832188815,0.463778432445038,-3.86710160805222,0.000110136547177622,0.0285004961760929
"ITGB8",142.330761198746,1.90727744001623,0.495008102890747,3.8530226654435,0.000116668586029129,0.0297115999087516
"MMP17",37.1554884088952,1.76108341499651,0.45883753570771,3.83814155980115,0.000123969011176706,0.0310774814893605
"CLCN4",29.7619339135338,1.81220765274179,0.475464149355495,3.8114496228544,0.000138154213672272,0.034100710833199
"APOBR",37.9108343612646,-1.90272836761773,0.500395754182089,-3.80244706657791,0.000143273884820107,0.0348285789099061
"CA8",98.0614171633633,1.68815956036851,0.446467970545822,3.78114371408251,0.000156109518566702,0.0369304370823336
"CACNA1I",25.9477574045839,-1.9336127280338,0.511918134465855,-3.77719130823793,0.000158606901859822,0.0369304370823336
"DAB1",26.5077351577548,1.80592311442902,0.478156183439489,3.77684776852323,0.000158825739134943,0.0369304370823336
"CCL20",37.6416444810402,-1.95140754902303,0.518629313445374,-3.76262486217639,0.000168139315120027,0.0385375310255103
"ANKRD34B",74.2969915357818,1.76917695687084,0.47276848918683,3.74216344222488,0.000182442787287956,0.0398900423497288
"CLEC7A",215.746141443902,1.66349468935642,0.444234661534568,3.7446305599163,0.000180659413038725,0.0398900423497288
"INADL",24.1365477047867,-1.62393015777689,0.435364575961613,-3.73004660333245,0.000191444356826796,0.0398900423497288
"LRP3",138.440192276331,1.60200022646601,0.429440412281319,3.73043658829334,0.000191148249788995,0.0398900423497288
"PTPN14",354.220463175906,1.96220988181692,0.526042205953601,3.73013773345402,0.000191375125148902,0.0398900423497288
"RGS1",1849.18673585942,-1.86593272217101,0.499620130043795,-3.73470284715599,0.000187936959924295,0.0398900423497288
"SEMA4C",14.8498247923535,-2.19888434317982,0.587699199029589,-3.74151325509823,0.000182915528089586,0.0398900423497288
"GNLY",54.6204042477329,-2.20269910343349,0.592770778775046,-3.71593739486508,0.000202451710344502,0.0416427594970152
"NKG7",1075.34282275137,-2.40729973764649,0.648658280680319,-3.71119865319793,0.000206280136482415,0.0418931456927072
"CAPN2",1572.5332982356,-1.93232877617021,0.521540196115815,-3.70504285299827,0.000211354997084938,0.0423872446653843
"GNG4",1566.69273820081,1.95291442590358,0.527551194580284,3.70184817315656,0.000214034689121505,0.0423947228674743
"CRIP2",22.6821439700011,-2.9691184278018,0.806846119072504,-3.67990668557085,0.000233319316428077,0.0454830850798277
"F2RL1",9.58145116767603,-2.17706188938046,0.59244655113003,-3.67469754904968,0.00023813133549648,0.0454830850798277
"TXK",101.387046840268,-1.36923393180867,0.372399549444245,-3.67678729432424,0.000236189823191768,0.0454830850798277
"EOMES",458.500274800325,-3.00418274327573,0.818970902990072,-3.66824112103059,0.000244224809053117,0.0457250944101943
"SERTAD4",31.6577763704694,1.53785173703313,0.419338482701229,3.6673279474062,0.000245098361959406,0.0457250944101943
"COL5A3",37.1028343401201,-1.72707356416179,0.47180999188135,-3.66052774184595,0.000251696299333338,0.0463120959273408
"RNF157",712.678685870743,-2.15684864883142,0.589596966174787,-3.65817460497587,0.000254017978160433,0.0463120959273408
"IL1R1",172.012393606261,-2.54696768635718,0.700466848691388,-3.63610025387415,0.000276796642107404,0.0498980373704628
"N4BP3",42.2345405562134,1.55972699724416,0.429562644763653,3.63096516016268,0.000282363303368625,0.0503359648805136
"LYN",340.635081844824,1.8486613226453,0.516110992052456,3.58190651063949,0.000341095865547713,0.0601378249104123
"ARHGAP23",67.7180282342534,1.67228538703763,0.469093096407659,3.56493284562081,0.000363949362203973,0.0617829761416439
"CD55",320.042508599044,-1.97731530244471,0.554007914166839,-3.56911020922572,0.000358195729136926,0.0617829761416439
"CXCR5",2851.34073597127,1.58233804160022,0.443258680319697,3.5697846694372,0.000357274785053006,0.0617829761416439
"DHRS3",26.2670374181064,-2.4397692287987,0.684639846091919,-3.56358053467887,0.000365830387276002,0.0617829761416439
"C3AR1",21.8752896895645,-2.12426686430927,0.601444457819784,-3.53194187208852,0.000412520023109877,0.0687764341658503
